Discounted_Price,Actual_Price,Rating,Reviews,Brand,Core,SSD,Series,Processor,RAM,Storage
2034990.0,2580000.0,5.0,2.0,Apple,M1,,MacBook,Apple M1,8GB,256GB SSD
2819990.0,3500000.0,43.0,5.0,Apple,M4,,MacBook,,,
2859990.0,3300000.0,,,Asus,Ultra 7,512GB,Zenbook,Intel Core Ultra 7,16GB,512GB SSD
2879990.0,3400000.0,,,Lenovo,Ultra 7,,ThinkPad,Intel Core Ultra 7,16GB,512GB SSD
1469990.0,1750000.0,,,Lenovo,Ryzen 7,,IdeaPad,AMD Ryzen 7,8GB,512GB SSD
1159990.0,1449990.0,,,HP,,512GB,Other,Intel Core i3,8GB,512GB SSD
1699990.0,2499990.0,5.0,1.0,Dell,,256GB,Latitude,Intel Core i5,8GB,256GB SSD
3439990.0,4150000.0,,,Dell,Core i7,,Latitude,Intel Core i7,8GB,512GB SSD
2519990.0,3200000.0,,,Dell,Core i7,,Latitude,Intel Core i7,8GB,512GB SSD
1349990.0,1749990.0,5.0,2.0,Lenovo,Core i5,,IdeaPad,Intel Core i5,,
1799990.0,2000000.0,3.0,1.0,HP,Core i5,,ProBook,Intel Core i5,,
2779990.0,3000000.0,,,Lenovo,Core i7,,ThinkPad,Intel Core i7,8GB,512GB SSD
3249990.0,3800000.0,,,Lenovo,Core i7,,LOQ,Intel Core i7,16GB,512GB SSD
1609990.0,1800000.0,,,HP,Core i7,,Other,Intel Core i7,8GB,512GB SSD
3659990.0,3900000.0,,,HP,,,Omen,Intel Core i7,16GB,1TB SSD
4699990.0,5200000.0,,,HP,Ultra 7,,Other,Intel Core Ultra 7,16GB,1TB SSD
2519990.0,3100000.0,,,HP,Ultra 7,,ProBook,Intel Core Ultra 7,8GB,512GB SSD
4199990.0,4999990.0,,,HP,,,Omen,,16GB,512GB SSD
2449990.0,2950000.0,,,Lenovo,Ultra 5,,ThinkPad,Intel Core Ultra 5,8GB,512GB SSD
1439990.0,1800000.0,,,HP,,512GB,Other,Intel Core i5,8GB,512GB SSD
1879990.0,2500000.0,,,HP,Core i5,,ProBook,Intel Core i5,,
4119990.0,4500000.0,,,HP,Core i7,,Envy,Intel Core i7,,
1819990.0,2500000.0,,,Dell,,,Inspiron,,,
2529990.0,2800000.0,,,HP,Ultra 5,,Other,Intel Core Ultra 5,,
5199990.0,5500000.0,,,HP,Ultra 7,,Other,Intel Core Ultra 7,32GB,2TB SSD
1199990.0,1299990.0,,,Infinix,Core i3,,Inbook,Intel Core i3,8GB,256GB SSD
1519990.0,,,,HP,Core i5,,Other,Intel Core i5,,
1799990.0,1999990.0,,,HP,Core i5,512GB,ProBook,Intel Core i5,8GB,512GB SSD
2609990.0,2899990.0,,,Acer,Core i7,512GB,V Series,Intel Core i7,16GB,512GB SSD
3599990.0,3799990.0,,,Dell,Ultra 7,512GB,Other,Intel Core Ultra 7,8GB,512GB SSD
2679990.0,2800000.0,,,Lenovo,,512GB,ThinkPad,Intel Core i7,8GB,512GB SSD
4319990.0,4500000.0,,,Lenovo,,,Legion,Intel Core i7,16GB,1TB SSD
2499990.0,3049990.0,,,Dell,Core i7,512GB,Latitude,Intel Core i7,8GB,512GB SSD
2159990.0,2700000.0,,,HP,M0,512GB,OmniBook,Intel Core Ultra 5,16GB,512GB SSD
4019990.0,4490000.0,,,Lenovo,,,LOQ,Intel Core i7,,
2599990.0,2900000.0,,,HP,M0,,OmniBook,Intel Core Ultra 7,16GB,1TB SSD
3199990.0,3650000.0,,,Asus,,512GB,TUF Gaming,Intel Core i7,16GB,512GB SSD
9929990.0,10400000.0,,,Lenovo,Ultra 9,,Legion,,32GB,2TB SSD
4449990.0,4750000.0,,,Asus,,,TUF Gaming,Intel Core i7,8GB,1TB SSD
1679990.0,2000000.0,,,Lenovo,Ryzen 5,512GB,ThinkBook,AMD Ryzen 5,16GB,512GB SSD
4939990.0,5500000.0,,,Lenovo,Ultra 9,,Legion,,8GB,1TB SSD
1459990.0,2000000.0,,,HP,,512GB,Other,Intel Core i5,8GB,512GB SSD
5049990.0,5450000.0,,,HP,,,OmniBook,,32GB,2TB SSD
